city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Cahors,44.4475,1.4402,France,FR,Occitanie,minor,,
Langres,47.8626,5.3331,France,FR,Grand Est,minor,,
Bar-sur-Aube,48.2332,4.7064,France,FR,Grand Est,minor,,
Louhans,46.6264,5.2247,France,FR,Bourgogne-Franche-Comté,minor,,
Figeac,44.6089,2.0316,France,FR,Occitanie,minor,,
Neufchâteau,48.3556,5.6960,France,FR,Grand Est,minor,,
Brignoles,43.4058,6.0617,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Villefranche-de-Rouergue,44.3531,2.0343,France,FR,Occitanie,minor,,
Châteaulin,48.1952,-4.0936,France,FR,Bretagne,minor,,
Nantua,46.1534,5.6060,France,FR,Auvergne-Rhône-Alpes,minor,,
Apt,43.8764,5.3963,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Jonzac,45.4464,-0.4349,France,FR,Nouvelle-Aquitaine,minor,,
Avallon,47.4900,3.9083,France,FR,Bourgogne-Franche-Comté,minor,,
Saint-Flour,45.0337,3.0930,France,FR,Auvergne-Rhône-Alpes,minor,,
Loches,47.1286,0.9952,France,FR,Centre-Val de Loire,minor,,
Thiers,45.8565,3.5476,France,FR,Auvergne-Rhône-Alpes,minor,,
Le Vigan,43.9911,3.6065,France,FR,Occitanie,minor,,
Briey,49.2492,5.9397,France,FR,Grand Est,minor,,
Autun,46.9510,4.2987,France,FR,Bourgogne-Franche-Comté,minor,,
Céret,42.4875,2.7508,France,FR,Occitanie,minor,,
Vervins,49.8351,3.9092,France,FR,Hauts-de-France,minor,,
Chinon,47.1670,0.2428,France,FR,Centre-Val de Loire,minor,,
Les Andelys,49.2456,1.4117,France,FR,Normandie,minor,,
Sarlat-la-Canéda,44.8899,1.2167,France,FR,Nouvelle-Aquitaine,minor,,
Ussel,45.5480,2.3092,France,FR,Nouvelle-Aquitaine,minor,,
La Flèche,47.6998,-0.0760,France,FR,Pays de la Loire,minor,,
Aubusson,45.9549,2.1672,France,FR,Nouvelle-Aquitaine,minor,,
Largentière,44.5427,4.2934,France,FR,Auvergne-Rhône-Alpes,minor,,
Castelsarrasin,44.0404,1.1067,France,FR,Occitanie,minor,,
Commercy,48.7643,5.5916,France,FR,Grand Est,minor,,
Bellac,46.1221,1.0493,France,FR,Nouvelle-Aquitaine,minor,,
Digne-les-Bains,44.0930,6.2329,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Lesparre-Médoc,45.3071,-0.9379,France,FR,Nouvelle-Aquitaine,minor,,
Barcelonnette,44.3867,6.6516,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Oloron-Sainte-Marie,43.1916,-0.6143,France,FR,Nouvelle-Aquitaine,minor,,
Mirande,43.5144,0.4039,France,FR,Occitanie,minor,,
Saint-Claude,46.3871,5.8633,France,FR,Bourgogne-Franche-Comté,minor,,
Confolens,46.0131,0.6720,France,FR,Nouvelle-Aquitaine,minor,,
Cosne sur Loire,47.4104,2.9250,France,FR,Bourgogne-Franche-Comté,minor,,
Vouziers,49.3979,4.7012,France,FR,Grand Est,minor,,
Charolles,46.4345,4.2753,France,FR,Bourgogne-Franche-Comté,minor,,
Nontron,45.5296,0.6617,France,FR,Nouvelle-Aquitaine,minor,,
Mauriac,45.2190,2.3335,France,FR,Auvergne-Rhône-Alpes,minor,,
Clamecy,47.4602,3.5194,France,FR,Bourgogne-Franche-Comté,minor,,
Le Blanc,46.6337,1.0627,France,FR,Centre-Val de Loire,minor,,
Nérac,44.1360,0.3384,France,FR,Nouvelle-Aquitaine,minor,,
Ambert,45.5494,3.7416,France,FR,Auvergne-Rhône-Alpes,minor,,
Forcalquier,43.9593,5.7794,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Montbard,47.6229,4.3370,France,FR,Bourgogne-Franche-Comté,minor,,
Montmorillon,46.4265,0.8696,France,FR,Nouvelle-Aquitaine,minor,,
Bressuire,46.8416,-0.4904,France,FR,Nouvelle-Aquitaine,minor,,
Gourdon,44.7358,1.3807,France,FR,Occitanie,minor,,
Yssingeaux,45.1428,4.1237,France,FR,Auvergne-Rhône-Alpes,minor,,
Fontainebleau,48.4091,2.7018,France,FR,Île-de-France,minor,,
Die,44.7536,5.3703,France,FR,Auvergne-Rhône-Alpes,minor,,
Sainte-Menehould,49.0901,4.8973,France,FR,Grand Est,minor,,
Rochechouart,45.8234,0.8206,France,FR,Nouvelle-Aquitaine,minor,,
Condom,43.9578,0.3726,France,FR,Occitanie,minor,,
Florac,44.3263,3.5928,France,FR,Occitanie,minor,,
Bagnères-de-Bigorre,43.0650,0.1488,France,FR,Occitanie,minor,,
Castellane,43.8471,6.5128,France,FR,Provence-Alpes-Côte d’Azur,minor,,
